City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Buzias,RO,45.6492,21.6036,76.73,37,4,0.85,clear sky
79,Mabaruma,GY,8.2,-59.7833,72.82,96,34,0.27,scattered clouds
80,Oktyabrskoye,RU,43.0645,44.7417,82.54,58,40,2.24,scattered clouds
81,Caravelas,BR,-17.7125,-39.2481,66.92,80,80,7.16,broken clouds
82,Cayenne,GF,4.9333,-52.3333,76.08,89,90,0.0,overcast clouds
83,Vila,PT,42.0304,-8.1588,54.48,93,23,3.29,light rain
84,Suntar,RU,62.1444,117.6319,70.57,64,100,10.49,overcast clouds
85,Shingu,JP,33.7333,135.9833,88.79,84,100,11.72,heavy intensity rain
86,Esperance,AU,-33.8667,121.9,73.24,54,0,11.3,clear sky
87,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,70,71,10.54,broken clouds
88,Kupang,ID,-10.1667,123.5833,86.58,42,20,20.71,few clouds
89,Sanmenxia,CN,34.7747,111.1814,89.55,38,67,6.98,broken clouds
90,Punta Arenas,CL,-53.15,-70.9167,32.11,86,40,13.8,scattered clouds
91,Hobart,AU,-42.8794,147.3294,46.26,69,40,12.66,scattered clouds
92,Barrow,US,71.2906,-156.7887,35.62,80,90,9.22,overcast clouds
93,Broken Hill,AU,-31.95,141.4333,56.91,47,90,12.66,overcast clouds
94,Tottori,JP,35.5,134.2333,93.2,84,75,6.91,thunderstorm
95,Makarov,RU,48.6333,142.8,57.24,92,100,17.05,overcast clouds
96,North Bend,US,43.4065,-124.2243,61.86,100,90,6.91,fog
97,Corinto,GR,37.9407,22.9573,91.76,39,0,6.58,clear sky
98,Tadine,NC,-21.55,167.8833,66.47,68,100,10.74,overcast clouds
99,Darhan,MN,49.4867,105.9228,68.72,71,83,15.64,broken clouds
100,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,9.22,mist
101,Orlik,RU,52.5178,99.825,57.67,71,100,7.45,overcast clouds
102,Samoded,RU,63.6083,40.5111,66.31,40,0,7.47,clear sky
103,Mount Gambier,AU,-37.8333,140.7667,53.51,76,40,8.05,scattered clouds
104,Soure,BR,-0.7167,-48.5233,78.31,80,3,4.54,clear sky
105,Graaff-Reinet,ZA,-32.2522,24.5308,63.79,20,2,4.47,clear sky
106,Alenquer,BR,-1.9417,-54.7383,75.54,77,20,2.59,few clouds
107,Salalah,OM,17.0151,54.0924,77.09,100,90,10.36,overcast clouds
108,Busselton,AU,-33.65,115.3333,64.09,85,100,22.62,overcast clouds
109,Cape Town,ZA,-33.9258,18.4232,46.81,100,90,1.14,fog
110,Namatanai,PG,-3.6667,152.4333,80.28,82,29,9.48,light rain
111,El Porvenir,HN,13.7617,-87.3458,72.73,89,83,4.79,broken clouds
112,Tiksi,RU,71.6872,128.8694,49.86,73,100,2.44,overcast clouds
113,Grand-Santi,GF,4.25,-54.3833,71.2,100,97,0.92,light rain
114,Upernavik,GL,72.7868,-56.1549,40.48,93,100,10.33,overcast clouds
115,Beringovskiy,RU,63.05,179.3167,44.4,86,100,24.49,light rain
116,Berdigestyakh,RU,62.0989,126.6992,74.26,38,77,14.09,broken clouds
117,Abeche,TD,13.8292,20.8324,75.22,57,75,4.61,broken clouds
118,Rabak,SD,13.1809,32.74,78.3,77,100,7.29,overcast clouds
119,Westport,US,41.1415,-73.3579,74.86,84,46,1.99,scattered clouds
120,Hoquiam,US,46.9809,-123.8893,62.58,85,90,3.44,overcast clouds
121,Mangaratiba,BR,-22.9597,-44.0406,63.46,84,100,5.82,overcast clouds
122,Stolin,BY,51.8912,26.846,57.74,88,100,10.33,overcast clouds
123,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,100,7.0,overcast clouds
124,Bethel,US,41.3712,-73.414,71.67,86,1,0.0,clear sky
125,Ilulissat,GL,69.2167,-51.1,44.62,70,100,6.91,overcast clouds
126,Chuy,UY,-33.6971,-53.4616,54.23,93,0,6.6,clear sky
127,Longyearbyen,SJ,78.2186,15.6401,46.24,87,40,3.44,scattered clouds
128,Kapuskasing,CA,49.4169,-82.4331,44.6,100,90,2.3,fog
129,Zyryanka,RU,65.75,150.85,60.58,60,32,14.63,scattered clouds
130,Dikson,RU,73.5069,80.5464,47.55,74,15,11.81,few clouds
131,Litovko,RU,49.2361,135.1742,61.2,93,100,12.84,moderate rain
132,Quatre Cocos,MU,-20.2078,57.7625,75.31,68,80,14.61,broken clouds
133,Bandarbeyla,SO,9.4942,50.8122,88.47,45,100,24.9,overcast clouds
134,San-Pedro,CI,4.7485,-6.6363,74.89,83,100,4.7,overcast clouds
135,Pevek,RU,69.7008,170.3133,44.55,73,0,10.33,clear sky
136,Aykhal,RU,66.0,111.5,63.25,54,19,14.45,few clouds
137,Faanui,PF,-16.4833,-151.75,78.71,69,46,9.66,scattered clouds
138,Cikupa,ID,-6.2364,106.5083,91.31,59,41,11.61,scattered clouds
139,Sorland,NO,67.667,12.6934,68.07,83,83,15.77,broken clouds
140,Bitung,ID,1.4451,125.1824,85.05,83,100,16.35,light rain
141,Thompson,CA,55.7435,-97.8558,55.56,88,20,0.0,smoke
142,Saint George,US,37.1041,-113.5841,84.94,12,1,5.01,haze
143,Nikolskoye,RU,59.7035,30.7861,61.02,90,100,11.14,moderate rain
144,Aksu,CN,41.1231,80.2644,89.76,21,0,5.61,light rain
145,Havre-Saint-Pierre,CA,50.2334,-63.5986,60.8,94,75,2.3,mist
146,Ponta Do Sol,PT,32.6667,-17.1,74.03,79,23,2.89,few clouds
147,Byron Bay,AU,-28.65,153.6167,66.31,63,0,9.64,clear sky
148,Rio Grande,BR,-32.035,-52.0986,53.94,96,33,8.75,scattered clouds
149,Vestmannaeyjar,IS,63.4427,-20.2734,54.68,85,99,12.46,light rain
150,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,88,75,4.47,broken clouds
151,Aylmer,CA,42.7668,-80.983,69.93,95,97,5.1,overcast clouds
152,Airai,TL,-8.9266,125.4092,67.8,52,93,4.18,overcast clouds
153,Deputatskiy,RU,69.3,139.9,62.01,42,5,7.43,clear sky
154,Ozernovskiy,RU,51.5,156.5167,54.57,79,100,10.16,overcast clouds
155,Sitka,US,57.0531,-135.33,60.69,77,90,4.61,overcast clouds
156,Kutum,SD,14.2,24.6667,72.88,72,100,17.18,overcast clouds
157,Constitucion,CL,-35.3333,-72.4167,49.73,91,7,5.32,clear sky
158,Namibe,AO,-15.1961,12.1522,63.23,94,20,0.0,few clouds
159,Komsomolskiy,UZ,40.4272,71.7189,92.12,21,0,6.91,clear sky
160,New Norfolk,AU,-42.7826,147.0587,45.9,72,5,1.01,clear sky
161,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
162,Gorontalo,ID,0.5412,123.0595,78.66,82,100,4.83,overcast clouds
163,Korla,CN,41.7597,86.1469,93.51,16,1,11.54,clear sky
164,Mayo,US,38.8876,-76.5119,72.9,90,1,0.0,clear sky
165,Baishishan,CN,43.5833,127.5667,79.88,56,8,4.25,clear sky
166,Kapoeta,SS,4.7717,33.5903,89.83,32,31,8.79,scattered clouds
167,Geraldton,AU,-28.7667,114.6,72.01,56,75,13.8,broken clouds
168,Humaita,BR,-7.5061,-63.0208,68.47,56,0,1.19,clear sky
169,Ampanihy,MG,-24.7,44.75,80.33,26,3,2.35,clear sky
170,Bengkulu,ID,-3.8004,102.2655,84.85,72,38,6.69,scattered clouds
171,Campo Gobierno,MX,24.6536,-107.5411,77.7,92,98,3.47,overcast clouds
172,Terra Santa,BR,-2.1042,-56.4869,73.17,83,12,2.35,few clouds
173,Atasu,KZ,48.6814,71.6433,92.93,17,32,11.7,scattered clouds
174,Hervey Bay,AU,-25.2986,152.8535,69.91,66,0,9.13,clear sky
175,Qaanaaq,GL,77.484,-69.3632,37.18,76,38,7.18,scattered clouds
176,Qasigiannguit,GL,68.8193,-51.1922,44.85,74,98,8.59,overcast clouds
177,Waddan,LY,29.1614,16.139,97.9,10,0,2.48,clear sky
178,Yuzhnyy,RU,53.2542,83.6936,71.98,60,75,6.71,broken clouds
179,Nanortalik,GL,60.1432,-45.2371,45.45,78,100,0.81,overcast clouds
180,Elat,IL,29.5581,34.9482,91.24,52,0,0.0,clear sky
181,Jhusi,IN,25.4333,81.9333,94.57,51,100,6.38,overcast clouds
182,Verkhoyansk,RU,67.5447,133.385,78.73,24,4,4.88,clear sky
183,Marzuq,YE,14.4,46.4667,88.36,36,2,3.69,clear sky
184,Chapayeve,UA,49.3662,35.8749,73.22,44,62,8.7,broken clouds
